1528759240.701345,7154752,18FEF000,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.705343,7154756,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.710340,7154761,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.712341,7154763,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.712341,7154763,18EBFF00,8,0A,05,03,01,FF,FF,FF,FF
1528759240.713305,7154764,18ECFF00,8,20,22,00,05,FF,E3,FE,00
1528759240.715558,7154766,18FD8C00,8,FF,FF,FF,FE,FF,FF,FF,FF
1528759240.721322,7154772,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.725344,7154776,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.726305,7154777,18FEF100,8,FF,00,00,FC,33,00,1F,CF
1528759240.732346,7154783,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.735344,7154786,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.741354,7154792,18FD2000,8,FF,FE,FF,FF,FF,FF,FF,FF
1528759240.741354,7154792,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.742305,7154793,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.745424,7154796,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.746309,7154797,18FEF200,8,00,00,00,00,0E,06,FF,FF
1528759240.752308,7154803,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.761322,7154812,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.761322,7154812,18FEEF00,8,FF,FF,FF,FE,04,7D,FF,FA
1528759240.762305,7154813,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.762305,7154813,18FEE000,8,97,44,31,00,80,44,31,00
1528759240.765353,7154816,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.768353,7154819,18EBFF00,8,01,C0,12,AC,40,1F,AD,28
1528759240.770354,7154821,18F00100,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.772357,7154823,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.781352,7154832,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.785355,7154836,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.786309,7154837,18FEDB00,8,FF,FF,FF,FE,FF,FF,FF,FF
1528759240.786309,7154838,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.790353,7154841,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.791309,7154842,18F0000F,8,F0,7D,7D,FF,0F,FF,FF,FF
1528759240.792354,7154843,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.806306,7154857,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.806306,7154857,18FEF000,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.810306,7154861,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.811306,7154862,18FEF600,8,FF,FE,FE,FF,FF,FF,FF,FF
1528759240.815355,7154866,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.817306,7154868,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.826355,7154877,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.828361,7154879,18EBFF00,8,02,1E,AD,40,1F,AD,40,1F
1528759240.830378,7154881,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.831408,7154882,18FEF100,8,FF,00,00,FC,33,00,1F,CF
1528759240.837391,7154888,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.840461,7154891,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.841473,7154892,18FD3E00,8,FF,FE,FF,FF,FE,FF,FF,FF
